Timestamp,Milliseconds,X,Y,Z
2020-10-27 20:17:29,2,-1.018455,5.1840405,7.6107745
2020-10-27 20:17:30,52,-1.4615643,5.425567,7.06912
2020-10-27 20:17:30,102,-0.81861585,5.6420226,8.437253
2020-10-27 20:17:30,152,-1.060909,5.1265507,8.740531
2020-10-27 20:17:30,202,-0.51407343,5.731987,7.753134
2020-10-27 20:17:30,252,-1.3256216,5.37256,7.888521
2020-10-27 20:17:30,303,-0.5581842,5.315482,6.770716
2020-10-27 20:17:30,352,-1.5609525,5.1072154,10.245498
2020-10-27 20:17:30,402,-1.7725617,6.038081,7.496159
2020-10-27 20:17:30,452,-1.2038143,6.4497304,3.9804273
2020-10-27 20:17:30,502,-2.3452737,5.461768,5.69028
2020-10-27 20:17:30,552,1.6018455,5.811781,8.727344
2020-10-27 20:17:30,603,1.4414052,4.366756,6.41919
2020-10-27 20:17:30,652,3.8947532,2.2267606,1.9609661
2020-10-27 20:17:30,702,1.3451965,-1.4130483,6.109754
2020-10-27 20:17:30,752,1.5978711,-3.5471535,3.1800456
2020-10-27 20:17:30,802,-3.5381799,-7.100503,3.1404934
2020-10-27 20:17:30,852,-6.3268695,-8.279648,9.989175
2020-10-27 20:17:30,903,-10.071956,-8.517115,6.6033134
2020-10-27 20:17:30,952,-13.043908,-9.386516,9.720305
2020-10-27 20:17:30,1002,-15.641387,-7.9188313,14.605512
2020-10-27 20:17:31,1052,-11.972904,-5.372885,16.056015
2020-10-27 20:17:31,1102,-9.675994,-5.508627,6.8284836
2020-10-27 20:17:31,1152,-4.319188,-3.947665,6.0234094
2020-10-27 20:17:31,1203,-7.1161995,-5.5026803,-0.45050257
2020-10-27 20:17:31,1252,-2.0676038,-7.05396,-1.3730077
2020-10-27 20:17:31,1302,-6.1910224,-11.7390585,4.0829663
2020-10-27 20:17:31,1352,-13.670327,-11.808317,1.0558717
2020-10-27 20:17:31,1402,-7.5679855,-9.91594,-3.2276807
2020-10-27 20:17:31,1452,-11.011067,-9.725976,-0.98874784
2020-10-27 20:17:31,1502,-3.7126598,-2.087284,1.5753081
2020-10-27 20:17:31,1553,-5.8708696,0.7721205,2.4091222
2020-10-27 20:17:31,1602,-4.039152,1.4511448,-1.9266142
2020-10-27 20:17:31,1652,-10.955138,-7.2393575,-1.0156012
2020-10-27 20:17:31,1702,-13.607311,-16.045921,-0.83015597
2020-10-27 20:17:31,1752,-12.659312,-13.202548,5.1472845
2020-10-27 20:17:31,1803,-7.2826734,-3.8321784,-0.510281
2020-10-27 20:17:31,1852,-12.053991,1.5195519,0.28765854
2020-10-27 20:17:31,1902,-2.4195132,2.7432668,-4.04442
2020-10-27 20:17:31,1952,3.9389884,3.8001535,5.706369
2020-10-27 20:17:31,2002,-8.177798,-3.2276328,-0.6911677
2020-10-27 20:17:32,2052,-24.610182,-11.397732,-4.715831
2020-10-27 20:17:32,2103,-4.875964,-13.21109,1.540324
2020-10-27 20:17:32,2152,-11.468992,-12.370734,2.2773168
2020-10-27 20:17:32,2202,-3.7949054,-1.7897233,0.32881966
